Voltage,Temperature,Label,CacheMiss,CacheRef,PageFault,BranchMiss,Temp,CoreVolt
Low,Normal,Attack_CRC32,146561.74691358025,56804416.562414266,583.40329218107,166314.30315500687,58.39193552812071,1.1063
Low,Normal,Attack_FFT,203626.0700064226,40006871.985228,1227.674373795761,529783.2472703918,58.23614771997431,1.1063
Low,Normal,Attack_bitcount,253019.53566796368,31629440.468223087,1560.0298313878081,587625.5609597925,58.0570570687419,1.1063
Low,Normal,Attack_dijkstra,286769.49872611463,41727446.65414013,1085.1917197452228,380171.2484076433,57.755442038216565,1.1063
Low,Normal,Attack_qsort_large,165473.85003232062,47383496.34195217,827.0096961861668,595644.5404007757,58.235265675500976,1.1063
Low,Normal,Attack_sha,306819.3685220729,29672560.24056302,2012.4632117722329,527129.2188099808,57.36471912987844,1.1063
Low,Normal,Attack_susan,183921.14734774065,39907189.81925344,1170.05566470203,602088.1335952849,55.11609692206942,1.1063
Low,Normal,Benign_CRC32,72810.34642233857,45605355.67015707,91.87958115183245,73627.54013961606,53.38638219895288,1.1063
Low,Normal,Benign_FFT,151108.24392361112,28034818.486111112,887.0538194444445,520631.86805555556,53.413192708333334,1.1063
Low,Normal,Benign_bitcount,167888.32904884318,11110972.59982862,1157.0608397600686,544664.9477292203,53.82569323050557,1.1063
Low,Normal,Benign_dijkstra,257949.79513888888,31962017.1171875,780.2734375,350671.79340277775,53.61774479166667,1.1063
Low,Normal,Benign_qsort_large,93125.23385689354,32343574.962478183,371.1867364746946,557189.8080279232,54.60979232111693,1.1063
Low,Normal,Benign_sha,309596.2098022356,19424680.152192604,2163.177128116939,590217.5606190886,53.785907136715394,1.1063
Low,Normal,Benign_susan,165837.77845884414,35011944.090192646,1042.8108581436077,660755.7119089317,55.76485464098074,1.1063
Low,Normal,Idle,30958.787414965987,726502.5909863946,53.94387755102041,49369.65731292517,50.26225,1.1063
Normal,Hot,Attack_CRC32,81661.42591316333,49078906.72915231,236.3328738800827,92554.05858028945,65.34372294968986,1.2563
Normal,Hot,Attack_FFT,163597.33780332055,32593399.08301405,1044.11877394636,485426.90038314176,64.8013908045977,1.2563
Normal,Hot,Attack_bitcount,165166.16377649325,16505197.770070648,1143.2614001284521,484616.2806679512,65.56877328195247,1.2563
Normal,Hot,Attack_dijkstra,268976.55376009946,36705476.952765696,1036.7010565568676,360356.13300186454,64.95723182100684,1.2563
Normal,Hot,Attack_qsort_large,128888.81699751862,37989730.07382134,681.5316377171216,553585.1011166254,66.1644553349876,1.2563
Normal,Hot,Attack_sha,260867.1577266922,21993461.64559387,1774.7356321839081,472372.8109833972,64.89518007662835,1.2563
Normal,Hot,Attack_susan,174864.1653846154,36922930.739102565,1137.3160256410256,596777.2974358974,66.2211923076923,1.2563
Normal,Hot,Benign_CRC32,71667.46026200874,45976181.66812227,91.63493449781659,73969.7615720524,64.48301135371179,1.2563
Normal,Hot,Benign_FFT,150868.98265394624,28321385.396357328,890.078924544666,524917.9037294015,64.1440381613183,1.2563
Normal,Hot,Benign_bitcount,167746.18283261804,11198488.212875536,1162.3081545064379,548181.6111587983,64.13012360515022,1.2563
Normal,Hot,Benign_dijkstra,259714.0849956635,32257417.7103209,785.8222029488292,353749.00260190805,64.11650823937555,1.2563
Normal,Hot,Benign_qsort_large,93631.54013961606,32493616.57940663,373.1195462478185,560628.3045375218,63.67739267015707,1.2563
Normal,Hot,Benign_sha,305526.1228522337,19425046.71993127,2149.1907216494847,590200.1116838488,64.73209278350515,1.2563
Normal,Hot,Benign_susan,166041.9547826087,35262494.286086954,1046.411304347826,665399.8226086956,63.57482608695653,1.2563
Normal,Hot,Idle,31396.428571428572,728979.7610544218,54.18792517006803,49576.566326530614,61.60233843537416,1.2563
Normal,Normal,Attack_CRC32,100116.51841929002,49265311.862692565,375.0314802411252,110741.01607501674,60.062597454789014,1.2563
Normal,Normal,Attack_FFT,158721.63358778626,31628708.24681934,959.3874045801526,481303.41539440205,59.79207124681934,1.2563
Normal,Normal,Attack_bitcount,182246.03853325045,16948188.358607832,1265.8962088253575,498895.9583592293,59.56853822249845,1.2563
Normal,Normal,Attack_dijkstra,248396.04519414387,34853081.316995546,889.5092297899428,339289.7460216423,59.708627625716105,1.2563
Normal,Normal,Attack_qsort_large,123902.09466327827,38719359.888818294,658.8780177890724,554346.1963151207,59.599404066073696,1.2563
Normal,Normal,Attack_sha,251269.2825255102,21188953.039540816,1711.4426020408164,464668.02040816325,59.645683673469385,1.2563
Normal,Normal,Attack_susan,181762.4720974984,37255707.989095576,1180.3303399615138,606837.399615138,54.08471584348942,1.2563
Normal,Normal,Benign_CRC32,72019.0,46745983.44969379,92.54243219597551,73601.12423447068,56.80703412073491,1.2563
Normal,Normal,Benign_FFT,152418.07291666666,28272000.7734375,889.6197916666666,524748.6493055555,56.590755208333334,1.2563
Normal,Normal,Benign_bitcount,168546.49871465296,11132088.197086547,1154.0736932305056,545964.9845758355,56.3981353898886,1.2563
Normal,Normal,Benign_dijkstra,257144.09375,31757299.230034724,771.5798611111111,350186.41059027775,56.505291666666665,1.2563
Normal,Normal,Benign_qsort_large,94227.66143106457,32722607.31762653,375.8385689354276,563924.3638743456,56.657572425828974,1.2563
Normal,Normal,Benign_sha,311072.90378006874,19508741.479381442,2157.0223367697595,592352.8616838488,56.815542955326464,1.2563
Normal,Normal,Benign_susan,167780.27826086956,35298659.68608696,1047.448695652174,666516.5486956522,56.954151304347825,1.2563
Normal,Normal,Idle,31489.376700680274,738407.4991496599,54.59183673469388,50024.27976190476,53.32967346938776,1.2563
